atividade_principal,data_situacao,tipo,nome,efr,telefone,email,situacao,bairro,logradouro,numero,cep,municipio,fantasia,porte,abertura,natureza_juridica,uf,cnpj,ultima_atualizacao,status,complemento,motivo_situacao,situacao_especial,data_situacao_especial,atividades_secundarias,capital_social,qsa,message,atividade_principal_code,possui_atividade_secundaria,atividade_secundaria_list,is_ativo,tem_situacao_especial,natureza_juridica_code,idade_empresa,tem_socios,socios_list,socios_count
Atividades de rádio,01/07/2001,MATRIZ,FUNDACAO NAZARE DE COMUNICACAO,,(91) 4006-9200 / (91) 4006-9228 / (91) 4006-9227,contabilidade@fundacaonazare.com.br,ATIVA,NAZARE,AVENIDA GOVERNADOR JOSE MALCHER,915,66.055-260,BELEM,REDE NAZARE DE COMUNICACAO,DEMAIS,01/02/1994,Fundação Privada,PA,83.369.470/0001-54,2020-07-04T23:59:59.000Z,OK,EDIF: PAULO VI;,,,,"[{'text': 'Edição de jornais diários', 'code': '58.12-3-01'}, {'text': 'Atividades de televisão aberta', 'code': '60.21-7-00'}, {'text': 'Portais, provedores de conteúdo e outros serviços de informação na internet', 'code': '63.19-4-00'}, {'text': 'Serviços de assistência social sem alojamento', 'code': '88.00-6-00'}, {'text': 'Atividades de organizações religiosas', 'code': '94.91-0-00'}]",0.0,"[{'qual': '16-Presidente', 'nome': 'ALBERTO TAVEIRA CORREA'}]",,60.10-1-00,1,"['Atividades de organizações religiosas', 'Atividades de televisão aberta', 'Edição de jornais diários', 'Portais, provedores de conteúdo e outros serviços de informação na internet', 'Serviços de assistência social sem alojamento']",1,1,306-9,26,1,['ALBERTO TAVEIRA CORREA'],1
Atividades de televisão aberta,23/01/2004,MATRIZ,REDE MEDIO NORTE DE COMUNICACOES LTDA,,(65) 3612-0012 / (65) 3612-0014,financeiro@tvcidadeverde.com.br,ATIVA,JARDIM ITALIA,AVENIDA JORNALISTA ARQUIMEDES PEREIRA LIMA,1200,78.060-746,CUIABA,REDE MEDIO NORTE DE COMUNICACOES,DEMAIS,20/02/1998,Sociedade Empresária Limitada,MT,02.394.582/0001-63,2020-07-04T23:59:59.000Z,OK,ANEXO: A;,,,,"[{'text': 'Atividades de gravação de som e de edição de música', 'code': '59.20-1-00'}, {'text': 'Atividades de rádio', 'code': '60.10-1-00'}, {'text': 'Criação de estandes para feiras e exposições', 'code': '73.19-0-01'}, {'text': 'Promoção de vendas', 'code': '73.19-0-02'}, {'text': 'Marketing direto', 'code': '73.19-0-03'}, {'text': 'Consultoria em publicidade', 'code': '73.19-0-04'}, {'text': 'Outras atividades de publicidade não especificadas anteriormente', 'code': '73.19-0-99'}]",250000.0,"[{'qual': '49-Sócio-Administrador', 'nome': 'LUIZ CARLOS SARAIVA BECCARI'}, {'qual': '49-Sócio-Administrador', 'nome': 'FERNANDA ELIZA PATRIAN BECCARI'}]",,60.21-7-00,1,"['Atividades de gravação de som e de edição de música', 'Atividades de rádio', 'Consultoria em publicidade', 'Criação de estandes para feiras e exposições', 'Marketing direto', 'Outras atividades de publicidade não especificadas anteriormente', 'Promoção de vendas']",1,1,206-2,22,1,"['FERNANDA ELIZA PATRIAN BECCARI', 'LUIZ CARLOS SARAIVA BECCARI']",2
Atividades de televisão aberta,03/11/2005,MATRIZ,TELEVISAO CIDADE VERDE S/A,,,,ATIVA,JARDIM ITALIA,AV ARCHIMEDES PEREIRA LIMA,1200,78.015-285,CUIABA,TV CIDADE VERDE,DEMAIS,03/10/1988,Sociedade Anônima Fechada,MT,24.964.108/0001-62,2020-08-06T20:50:51.436Z,OK,,,,,"[{'text': 'Atividades de gravação de som e de edição de música', 'code': '59.20-1-00'}, {'text': 'Atividades de rádio', 'code': '60.10-1-00'}, {'text': 'Criação de estandes para feiras e exposições', 'code': '73.19-0-01'}, {'text': 'Promoção de vendas', 'code': '73.19-0-02'}, {'text': 'Marketing direto', 'code': '73.19-0-03'}, {'text': 'Consultoria em publicidade', 'code': '73.19-0-04'}, {'text': 'Outras atividades de publicidade não especificadas anteriormente', 'code': '73.19-0-99'}]",0.0,"[{'qual': '16-Presidente', 'nome': 'FERNANDA ELIZA PATRIAN BECCARI'}, {'qual': '10-Diretor', 'nome': 'VITOR JAIME BECCARI'}, {'qual': '10-Diretor', 'nome': 'MARIANA PATRIAN BECCARI'}]",,60.21-7-00,1,"['Atividades de gravação de som e de edição de música', 'Atividades de rádio', 'Consultoria em publicidade', 'Criação de estandes para feiras e exposições', 'Marketing direto', 'Outras atividades de publicidade não especificadas anteriormente', 'Promoção de vendas']",1,1,205-4,31,1,"['FERNANDA ELIZA PATRIAN BECCARI', 'MARIANA PATRIAN BECCARI', 'VITOR JAIME BECCARI']",3
Atividades de televisão aberta,03/11/2005,MATRIZ,GAZETA PUBLICIDADE E NEGOCIOS LTDA,,,,ATIVA,CONSIL,R PROFESSORA TEREZA LOBO,30,78.048-700,CUIABA,,EMPRESA DE PEQUENO PORTE,28/12/1977,Sociedade Empresária Limitada,MT,03.915.493/0001-88,2020-08-07T07:44:39.033Z,OK,,,,,"[{'code': '00.00-0-00', 'text': 'Não informada'}]",359720.0,"[{'qual': '22-Sócio', 'nome': 'JOAO DORILEO LEAL'}, {'qual': '49-Sócio-Administrador', 'nome': 'ADAIR NOGAROL'}]",,60.21-7-00,0,[],1,1,206-2,42,1,"['ADAIR NOGAROL', 'JOAO DORILEO LEAL']",2
Administração pública em geral,14/10/2005,MATRIZ,MUNICIPIO DE PARANATINGA,MUNICÍPIO DE PARANATINGA,,,ATIVA,CENTRO,R PRINCIPAL,SN,78.870-000,PARANATINGA,PARANATINGA GABINETE DO PREFEITO,DEMAIS,19/02/1981,Município,MT,15.023.971/0001-24,2020-08-13T18:38:16.048Z,OK,,,,,"[{'code': '00.00-0-00', 'text': 'Não informada'}]",0.0,[],,84.11-6-00,0,[],1,1,124-4,39,0,[],0
Administração pública em geral,30/04/2005,MATRIZ,MUNICIPIO DE PORECATU,MUNICÍPIO DE PORECATU,(43) 3623-1113 / (43) 3623-3100 / (43) 3623-1113,pmpcontabil@onda.com.br,ATIVA,CENTRO,RUA BARAO DO RIO BRANCO,344,86.160-000,PORECATU,PORECATU PREF GABINETE DO PREFEITO,DEMAIS,12/10/1970,Município,PR,80.542.764/0001-48,2020-07-04T23:59:59.000Z,OK,TERREO,,,,"[{'code': '00.00-0-00', 'text': 'Não informada'}]",0.0,[],,84.11-6-00,0,[],1,1,124-4,49,0,[],0
Atividades de televisão aberta,03/11/2005,MATRIZ,TELEVISAO CIDADE LTDA,,(41) 3091-9004/ (41) 3091-9027,cristiano@redemassa.com.br,ATIVA,JARDIM SHANGRI-LA A,AV TIRADENTES,1266,86.070-545,LONDRINA,,DEMAIS,02/05/1988,Sociedade Empresária Limitada,PR,80.583.941/0001-34,2020-08-14T16:52:23.159Z,OK,,,,,"[{'code': '00.00-0-00', 'text': 'Não informada'}]",566000.0,"[{'qual': '49-Sócio-Administrador', 'nome': 'RAFAEL MARTINEZ MASSA'}, {'qual': '22-Sócio', 'nome': 'ROBERTA ADRIANA MARTINEZ PEREIRA FRANCA'}]",,60.21-7-00,0,[],1,1,206-2,32,1,"['RAFAEL MARTINEZ MASSA', 'ROBERTA ADRIANA MARTINEZ PEREIRA FRANCA']",2
Administração pública em geral,03/11/2005,MATRIZ,MUNICIPIO DE PRANCHITA,MUNICÍPIO DE PRANCHITA,(046) 5401-122,,ATIVA,CENTRO,RUA SIMAO FACHINELLO,364,85.730-000,PRANCHITA,MUNICIPIO DE PRANCHITA,DEMAIS,02/02/1983,Município,PR,78.113.834/0001-09,2020-07-04T23:59:59.000Z,OK,,,,,"[{'code': '00.00-0-00', 'text': 'Não informada'}]",0.0,[],,84.11-6-00,0,[],1,1,124-4,37,0,[],0
Atividades de televisão aberta,02/07/2005,MATRIZ,TV ESPLANADA DO PARANA LTDA,,(41) 3321-5100 / (41) 3321-5545,confis@grpcom.com.br,ATIVA,BOA VISTA,RUA JOAO BATISTA FRANCA SILVA,2885,84.072-900,PONTA GROSSA,TV ESPLANADA CANAL SETE,DEMAIS,02/07/1968,Sociedade Empresária Limitada,PR,80.242.720/0001-00,2020-07-04T23:59:59.000Z,OK,,,,,"[{'code': '00.00-0-00', 'text': 'Não informada'}]",580000.0,"[{'qual': '49-Sócio-Administrador', 'nome': 'MARCO ANTONIO BROGLIO LEMANSKI'}, {'qual': '49-Sócio-Administrador', 'nome': 'RICARDO FILIZOLA'}, {'qual': '22-Sócio', 'nome_rep_legal': 'MARCO ANTONIO BROGLIO LEMANSKI', 'qual_rep_legal': '05-Administrador', 'nome': 'RADIO E TELEVISAO IMAGEM LTDA'}]",,60.21-7-00,0,[],1,1,206-2,52,1,"['MARCO ANTONIO BROGLIO LEMANSKI', 'RADIO E TELEVISAO IMAGEM LTDA', 'RICARDO FILIZOLA']",3
Serviços de assistência social sem alojamento,03/11/2005,MATRIZ,FUNDACAO JOAO PAULO II,,(12) 3186-2446/ (12) 3186-2126,cn@qualityassociados.com.br,ATIVA,ALTO DA BELA VISTA,R JOAO PAULO II,SN,12.630-000,CACHOEIRA PAULISTA,,DEMAIS,13/08/1982,Fundação Privada,SP,50.016.039/0001-75,2020-08-20T20:53:54.866Z,OK,,,,,"[{'text': 'Clínicas e residências geriátricas', 'code': '87.11-5-01'}, {'text': 'Atividades de assistência a deficientes físicos, imunodeprimidos e convalescentes', 'code': '87.11-5-03'}, {'text': 'Centros de apoio a pacientes com câncer e com AIDS', 'code': '87.11-5-04'}, {'text': 'Atividades de fornecimento de infra-estrutura de apoio e assistência a paciente no domicílio', 'code': '87.12-3-00'}, {'text': 'Atividades de centros de assistência psicossocial', 'code': '87.20-4-01'}, {'text': 'Atividades de assistência social prestadas em residências coletivas e particulares não especificadas anteriormente', 'code': '87.30-1-99'}, {'text': 'Educação infantil - pré-escola', 'code': '85.12-1-00'}, {'text': 'Ensino fundamental', 'code': '85.13-9-00'}, {'text': 'Ensino médio', 'code': '85.20-1-00'}, {'text': 'Educação superior - graduação', 'code': '85.31-7-00'}, {'text': 'Atividade médica ambulatorial com recursos para realização de procedimentos cirúrgicos', 'code': '86.30-5-01'}, {'text': 'Atividade médica ambulatorial com recursos para realização de exames complementares', 'code': '86.30-5-02'}, {'text': 'Atividade médica ambulatorial restrita a consultas', 'code': '86.30-5-03'}, {'text': 'Atividades de gravação de som e de edição de música', 'code': '59.20-1-00'}, {'text': 'Atividades de rádio', 'code': '60.10-1-00'}, {'text': 'Atividades de televisão aberta', 'code': '60.21-7-00'}, {'text': 'Programadoras', 'code': '60.22-5-01'}, {'text': 'Produção musical', 'code': '90.01-9-02'}, {'text': 'Comércio atacadista de artigos do vestuário e acessórios, exceto profissionais e de segurança', 'code': '46.42-7-01'}, {'text': 'Comércio atacadista de livros, jornais e outras publicações', 'code': '46.47-8-02'}, {'text': 'Comércio atacadista de filmes, CDs, DVDs, fitas e discos', 'code': '46.49-4-07'}, {'text': 'Lojas de departamentos ou magazines, exceto lojas francas (Duty free)', 'code': '47.13-0-04'}, {'text': 'Comércio varejista de livros', 'code': '47.61-0-01'}, {'text': 'Comércio varejista de discos, CDs, DVDs e fitas', 'code': '47.62-8-00'}, {'text': 'Comércio varejista de artigos do vestuário e acessórios', 'code': '47.81-4-00'}, {'text': 'Criação de bovinos para corte', 'code': '01.51-2-01'}, {'text': 'Criação de bovinos para leite', 'code': '01.51-2-02'}, {'text': 'Criação de bovinos, exceto para corte e leite', 'code': '01.51-2-03'}, {'text': 'Cultivo de arroz', 'code': '01.11-3-01'}, {'text': 'Atividades de organizações associativas ligadas à cultura e à arte', 'code': '94.93-6-00'}]",0.0,"[{'qual': '10-Diretor', 'nome': 'WELLINGTON SILVA JARDIM'}, {'qual': '16-Presidente', 'nome': 'JONAS ABIB'}, {'qual': '10-Diretor', 'nome': 'CRISTIANE ANDREIA BERTAO DA SILVA'}]",,88.00-6-00,1,"['Atividade médica ambulatorial com recursos para realização de exames complementares', 'Atividade médica ambulatorial com recursos para realização de procedimentos cirúrgicos', 'Atividade médica ambulatorial restrita a consultas', 'Atividades de assistência a deficientes físicos, imunodeprimidos e convalescentes', 'Atividades de assistência social prestadas em residências coletivas e particulares não especificadas anteriormente', 'Atividades de centros de assistência psicossocial', 'Atividades de fornecimento de infra-estrutura de apoio e assistência a paciente no domicílio', 'Atividades de gravação de som e de edição de música', 'Atividades de organizações associativas ligadas à cultura e à arte', 'Atividades de rádio', 'Atividades de televisão aberta', 'Centros de apoio a pacientes com câncer e com AIDS', 'Clínicas e residências geriátricas', 'Comércio atacadista de artigos do vestuário e acessórios, exceto profissionais e de segurança', 'Comércio atacadista de filmes, CDs, DVDs, fitas e discos', 'Comércio atacadista de livros, jornais e outras publicações', 'Comércio varejista de artigos do vestuário e acessórios', 'Comércio varejista de discos, CDs, DVDs e fitas', 'Comércio varejista de livros', 'Criação de bovinos para corte', 'Criação de bovinos para leite', 'Criação de bovinos, exceto para corte e leite', 'Cultivo de arroz', 'Educação infantil - pré-escola', 'Educação superior - graduação', 'Ensino fundamental', 'Ensino médio', 'Lojas de departamentos ou magazines, exceto lojas francas (Duty free)', 'Produção musical', 'Programadoras']",1,1,306-9,38,1,"['CRISTIANE ANDREIA BERTAO DA SILVA', 'JONAS ABIB', 'WELLINGTON SILVA JARDIM']",3
Atividades de televisão aberta,03/11/2005,MATRIZ,FUNDACAO PIRATINI,,,,ATIVA,MORRO SANTA TERESA,RUA CORREA LIMA,2118,90.850-250,PORTO ALEGRE,TV E,DEMAIS,30/11/1981,Fundação Pública de Direito Privado Estadual ou do Distrito Federal,RS,87.809.992/0001-80,2020-07-04T23:59:59.000Z,OK,,,,,"[{'code': '00.00-0-00', 'text': 'Não informada'}]",0.0,[],,60.21-7-00,0,[],1,1,126-0,38,0,[],0
Atividades de televisão aberta,27/08/2005,MATRIZ,TELEVISAO URUGUAIANA LTDA,,,,ATIVA,CENTRO,RUA DOMINGOS DE ALMEIDA,1722,97.500-008,URUGUAIANA,,DEMAIS,28/06/1972,Sociedade Empresária Limitada,RS,87.519.237/0001-61,2020-07-04T23:59:59.000Z,OK,CASA,,,,"[{'code': '00.00-0-00', 'text': 'Não informada'}]",0.0,"[{'qual': '22-Sócio', 'nome': 'JOINVANAS PARTICIPACOES S/A'}, {'qual': '22-Sócio', 'nome': 'EDUARDO SIROTSKY MELZER'}, {'qual': '05-Administrador', 'nome': 'CYRO SILVEIRA MARTINS FILHO'}, {'qual': '05-Administrador', 'nome': 'LUIZA GIRARDELLO SIROTSKY'}]",,60.21-7-00,0,[],1,1,206-2,48,1,"['CYRO SILVEIRA MARTINS FILHO', 'EDUARDO SIROTSKY MELZER', 'JOINVANAS PARTICIPACOES S/A', 'LUIZA GIRARDELLO SIROTSKY']",4
Atividades de televisão aberta,03/11/2005,MATRIZ,SOCIEDADE RADIO E TELEVISAO ALTEROSA SA,,(31) 3263-5478/ (31) 3263-5444,carlosneri.mg@diariosassociados.com.br,ATIVA,FLORESTA,AV ASSIS CHATEAUBRIAND,499,30.150-101,BELO HORIZONTE,TV ALTEROSA,DEMAIS,13/04/1966,Sociedade Anônima Fechada,MG,17.247.925/0001-34,2020-08-06T20:46:04.436Z,OK,,,,,"[{'code': '00.00-0-00', 'text': 'Não informada'}]",5280000.0,"[{'qual': '10-Diretor', 'nome': 'ALVARO AUGUSTO TEIXEIRA DA COSTA'}, {'qual': '10-Diretor', 'nome': 'HELIO AMONI'}, {'qual': '16-Presidente', 'nome': 'GERALDO TEIXEIRA DA COSTA NETO'}]",,60.21-7-00,0,[],1,1,205-4,54,1,"['ALVARO AUGUSTO TEIXEIRA DA COSTA', 'GERALDO TEIXEIRA DA COSTA NETO', 'HELIO AMONI']",3
Administração pública em geral,30/09/2005,MATRIZ,MUNICIPIO DE RECREIO,MUNICÍPIO DE RECREIO,(032) 4441-344 / (032) 4441-144,,ATIVA,CENTRO,RUA PREFEITO JOSE ANTONIO,126,36.740-000,RECREIO,RECREIO PREFEITURA GABINETE DO PREFEITO,DEMAIS,30/12/1974,Município,MG,17.735.754/0001-92,2020-07-04T23:59:59.000Z,OK,,,,,"[{'code': '00.00-0-00', 'text': 'Não informada'}]",0.0,[],,84.11-6-00,0,[],1,1,124-4,45,0,[],0
Atividades de televisão aberta,03/11/2005,MATRIZ,RBS TV SANTA CRUZ LTDA,,(51) 3218-6848,,ATIVA,CENTRO,RUA ASSIS BRASIL,793,96.810-158,SANTA CRUZ DO SUL,,DEMAIS,06/05/1986,Sociedade Empresária Limitada,RS,90.705.690/0001-77,2020-07-04T23:59:59.000Z,OK,,,,,"[{'text': 'Portais, provedores de conteúdo e outros serviços de informação na internet', 'code': '63.19-4-00'}, {'text': 'Agências de publicidade', 'code': '73.11-4-00'}, {'text': 'Serviços de organização de feiras, congressos, exposições e festas', 'code': '82.30-0-01'}, {'text': 'Outras atividades de ensino não especificadas anteriormente', 'code': '85.99-6-99'}, {'text': 'Artes cênicas, espetáculos e atividades complementares não especificados anteriormente', 'code': '90.01-9-99'}]",0.0,"[{'qual': '22-Sócio', 'nome_rep_legal': 'CYRO SILVEIRA MARTINS FILHO', 'qual_rep_legal': '05-Administrador', 'nome': 'JOINVANAS PARTICIPACOES S/A'}, {'qual': '22-Sócio', 'nome': 'EDUARDO SIROTSKY MELZER'}, {'qual': '05-Administrador', 'nome': 'LUIZA GIRARDELLO SIROTSKY'}, {'qual': '05-Administrador', 'nome': 'AURELIO LEMOS CLASEN'}]",,60.21-7-00,1,"['Agências de publicidade', 'Artes cênicas, espetáculos e atividades complementares não especificados anteriormente', 'Outras atividades de ensino não especificadas anteriormente', 'Portais, provedores de conteúdo e outros serviços de informação na internet', 'Serviços de organização de feiras, congressos, exposições e festas']",1,1,206-2,34,1,"['AURELIO LEMOS CLASEN', 'EDUARDO SIROTSKY MELZER', 'JOINVANAS PARTICIPACOES S/A', 'LUIZA GIRARDELLO SIROTSKY']",4
Administração pública em geral,04/10/2003,MATRIZ,MUNICIPIO DE PEDRAS GRANDES,MUNICÍPIO DE PEDRAS GRANDES,(48) 6593-000 / (48) 6593-000,pedrasgrcont@tro.matrix.com.br,ATIVA,CENTRO,RUA JOSE MARCON,311,88.720-000,PEDRAS GRANDES,PEDRAS GRANDES PREF GABINETE DO PREFEITO,DEMAIS,12/12/1974,Município,SC,82.928.680/0001-72,2020-07-04T23:59:59.000Z,OK,PREDIO,,,,"[{'code': '00.00-0-00', 'text': 'Não informada'}]",0.0,[],,84.11-6-00,0,[],1,1,124-4,45,0,[],0
Atividades de televisão aberta,11/08/2001,MATRIZ,TELEVISAO JOACABA LTDA,,,,ATIVA,CRUZEIRO DO SUL,RUA MARTINHO LUTERO,299,89.600-000,JOACABA,NSC TV JOACABA,DEMAIS,19/12/1986,Sociedade Empresária Limitada,SC,79.845.830/0001-70,2020-07-04T23:59:59.000Z,OK,,,,,"[{'code': '00.00-0-00', 'text': 'Não informada'}]",253563.0,"[{'qual': '05-Administrador', 'nome': 'LEOPOLDO DE BRUGGEN E SILVA'}, {'qual': '22-Sócio', 'nome': 'LS BROADCAST PARTICIPACOES S/A'}, {'qual': '22-Sócio', 'nome': 'LEONARDO SANCHEZ SECUNDINO'}, {'qual': '05-Administrador', 'nome': 'WILSON ROBERTO ANGELICO'}]",,60.21-7-00,0,[],1,1,206-2,33,1,"['LEONARDO SANCHEZ SECUNDINO', 'LEOPOLDO DE BRUGGEN E SILVA', 'LS BROADCAST PARTICIPACOES S/A', 'WILSON ROBERTO ANGELICO']",4
Atividades de televisão aberta,03/11/2005,MATRIZ,TELEVISAO CHAPECO S/A,,,,ATIVA,SEDE,ROD CHAPECO SEARA,SN,89.804-460,CHAPECO,,DEMAIS,29/08/1983,Sociedade Anônima Fechada,SC,76.851.492/0001-90,2020-07-17T07:49:08.870Z,OK,KM 3,,,,"[{'code': '00.00-0-00', 'text': 'Não informada'}]",0.0,"[{'qual': '10-Diretor', 'nome': 'MARIO DA SILVA NEVES'}, {'qual': '10-Diretor', 'nome': 'CLAITON JOARI DE FRAGA SELISTRE'}]",,60.21-7-00,0,[],1,1,205-4,37,1,"['CLAITON JOARI DE FRAGA SELISTRE', 'MARIO DA SILVA NEVES']",2
